run_name,dataset_label,pair_count,group_label,eval_variant,eval_checkpoint,decode,external_bleu,indomain_bleu
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-003000,stage_a,checkpoint-003000,greedy,33.2716,54.5508
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_ckpt4000_lr5e6_1k_dense250_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-001000,stage_a,checkpoint-001000,greedy,33.2540,54.1300
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_6k_dense500_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-003000,stage_a,checkpoint-003000,greedy,33.2481,54.0575
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_6k_dense500_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-003500,stage_a,checkpoint-003500,greedy,33.2081,54.1295
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_6k_dense500_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-004500,stage_a,checkpoint-004500,greedy,33.1271,54.4878
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,33.0678,53.1220
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-002500,stage_a,checkpoint-002500,greedy,33.0415,54.3705
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_6k_dense500_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.9595,54.2246
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_6k_dense500_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-005500,stage_a,checkpoint-005500,greedy,32.9406,54.8321
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack06_prune10_defer_studentonly_v2,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-003000,stage_a,checkpoint-003000,greedy,32.9055,54.8940
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexdense_pack06_prune10_seed42_500ckpts_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-003000,stage_a,checkpoint-003000,greedy,32.9055,54.8940
