category	index	name	type	dims	strides	bytes	sha256	payload
parameter	16	w_o_1	BF16	1024,1024	2,2048	2097152	e446c420aec96d758363fcc976b1a1b7755f7c40c7fd2e38f4126090161b78b8	parameters/00016.bin
parameter	17	ff1_1	BF16	6144,1024	2,12288	12582912	f6e679b8ea7d95f310ad1def8bad468e09c24ad1bba72c55387ec3a908ba6c0a	parameters/00017.bin
parameter	18	ff_bias1_1	BF16	6144	2	12288	6c47f06ed178298f43e02f02f6bfa25d829da0afabf03e426d44e3e98e269a61	parameters/00018.bin
parameter	19	ff2_1	BF16	1024,3072	2,2048	6291456	59c784a838df06c240975bbd1f4ca24f6c0dfd0465b25864e4b59e83588f14ff	parameters/00019.bin
parameter	20	ff_bias2_1	BF16	1024	2	2048	093027f358c02540a4156655b3090e473149fa8d92ffff30d6dfb278d4013128	parameters/00020.bin
parameter	21	ln_g_2	BF16	1024	2	2048	95fbbe9f3324b7d9f3a3550109772b0060170636c8aabc21e00aebae78594b7e	parameters/00021.bin
parameter	22	ln_b_2	BF16	1024	2	2048	bdc478b35ae5f89f5738c642d5330997029f17fa28e67bb1ac8398f9d0c76381	parameters/00022.bin
parameter	23	ln_g_3	BF16	1024	2	2048	95fbbe9f3324b7d9f3a3550109772b0060170636c8aabc21e00aebae78594b7e	parameters/00023.bin
parameter	24	ln_b_3	BF16	1024	2	2048	d35dbd11666a81ed927cd74a9e78b8e8936f19c69b2d8abc42916cfc077ed6ea	parameters/00024.bin
parameter	25	w_r_2	BF16	128,320,8	2,256,81920	655360	ae72e048f79454637242696533e7f2422d80fd83fe262b4b740d7ea0c858fc4b	parameters/00025.bin
parameter	26	w_q_2	BF16	1024,1024	2,2048	2097152	e9b8725a594ba56bc1a04f5ba8725e2cce5ebd16c4a59126a940ae4887732836	parameters/00026.bin
parameter	27	w_kv_2	BF16	2048,1024	2,4096	4194304	849304d432a57a1feda7762e0461b4d0374fd59c976a4ef25ba7e7f634188640	parameters/00027.bin
parameter	28	w_o_2	BF16	1024,1024	2,2048	2097152	07f59481545aeea517e904a60c459fd9df8a2c3b6f5c9e344ae0c7f6a89a6ed2	parameters/00028.bin
parameter	29	ff1_2	BF16	6144,1024	2,12288	12582912	fd78ceb536e10d75f498b3f296421f4a9d8f606860f4b51a4430a75679ee1baf	parameters/00029.bin
parameter	30	ff_bias1_2	BF16	6144	2	12288	276231787667a80d8086bd6aacec0779c7d99374331394d2ff80845c78212f12	parameters/00030.bin
parameter	31	ff2_2	BF16	1024,3072	2,2048	6291456	6388daba4cf91eaab6b698121d3e10a3b8ddb21f1aaccae95f71be879538e924	parameters/00031.bin
parameter	32	ff_bias2_2	BF16	1024	2	2048	9f71ce562d679482fb5d598ec5b01d04692c43e4c65f2f57d8ffc3ddc284d811	parameters/00032.bin
parameter	33	ln_g_4	BF16	1024	2	2048	95fbbe9f3324b7d9f3a3550109772b0060170636c8aabc21e00aebae78594b7e	parameters/00033.bin
parameter	34	ln_b_4	BF16	1024	2	2048	4caefcb30c78632752b3b3c480dc29ba22e91590ed09ca26aafb7efa2655e8d4	parameters/00034.bin
parameter	35	ln_g_5	BF16	1024	2	2048	95fbbe9f3324b7d9f3a3550109772b0060170636c8aabc21e00aebae78594b7e	parameters/00035.bin
parameter	36	ln_b_5	BF16	1024	2	2048	e53b1cf2542a0ee8045f213bf203e8e13538403db8df650a288aeef8a5cba758	parameters/00036.bin
parameter	37	w_r_3	BF16	128,320,8	2,256,81920	655360	060a615c20acc3021fe7c3f8400c003d64edb4d688cc8afa8acdf23d598dfe51	parameters/00037.bin
parameter	38	w_q_3	BF16	1024,1024	2,2048	2097152	8a44bccdf048986c477ac6ce5d62d4f7c27241322ea47e157fcf2488cf5a7eb5	parameters/00038.bin
parameter	39	w_kv_3	BF16	2048,1024	2,4096	4194304	63316d286f8f468d86ec4cf942783976ad9d25555f9aa051cef07fb51194d8f7	parameters/00039.bin
parameter	40	w_o_3	BF16	1024,1024	2,2048	2097152	f81b21e8f695adff9c7e015bbbdda952d9abc2fcab2db5f05803bda70e313dea	parameters/00040.bin
parameter	41	ff1_3	BF16	6144,1024	2,12288	12582912	f838e71b03bd79e9b738ed25ae2fc13ef33f10970627e36af9042a334b002adc	parameters/00041.bin
parameter	42	ff_bias1_3	BF16	6144	2	12288	790ca8cd69a81f1dd3b0a34705de233f6d2d6d070c3a3f01ac004be170fef184	parameters/00042.bin
parameter	43	ff2_3	BF16	1024,3072	2,2048	6291456	bef01267d2834f5e3bd408fb16acf2feb0de5ba5271757dc627ae68fef99691c	parameters/00043.bin
parameter	44	ff_bias2_3	BF16	1024	2	2048	9bf6ed0de47a3d64645140dff1133a3439be658adfe9a725dba01d29a85e1191	parameters/00044.bin
parameter	45	ln_g_6	BF16	1024	2	2048	95fbbe9f3324b7d9f3a3550109772b0060170636c8aabc21e00aebae78594b7e	parameters/00045.bin
parameter	46	ln_b_6	BF16	1024	2	2048	96396aea23837938182f5000169bdda8117df18c14d96f2a7f82e9204b58ddb9	parameters/00046.bin
parameter	47	ln_g_7	BF16	1024	2	2048	95fbbe9f3324b7d9f3a3550109772b0060170636c8aabc21e00aebae78594b7e	parameters/00047.bin
parameter	48	ln_b_7	BF16	1024	2	2048	36429507dac38955ddad2a211b4678f6fef9f6b29e5bc09236c4828195855e94	parameters/00048.bin
parameter	49	w_r_4	BF16	128,320,8	2,256,81920	655360	c80f01731ddfceb630665ba01fc7abfbbde863cc6865fb8af073af8954126da6	parameters/00049.bin
parameter	50	w_q_4	BF16	1024,1024	2,2048	2097152	8f7bdece79a292e1d53ffa5036d216a88e06eff96a74c1060d1581e5353d5aa8	parameters/00050.bin
parameter	51	w_kv_4	BF16	2048,1024	2,4096	4194304	1f873de8aabba22f48085afbe82d65f3bfed2d008d4e84298727cc768595a56a	parameters/00051.bin
